"Year","Geographylevel","Indicator","Categories","Sex","Percent","Mean","LowerCI","UpperCI"
"2009","Scotland","General health questionnaire (GHQ-12)","Score 0","All",62,NA,60.4,63.1
"2009","Scotland","General health questionnaire (GHQ-12)","Score 1-3","All",24,NA,22.8,25.2
"2009","Scotland","General health questionnaire (GHQ-12)","Score 4+","All",14,NA,13.3,15.2
"2009","Scotland","General health questionnaire (GHQ-12)","Score 0","Female",58,NA,56.6,60.2
"2009","Scotland","General health questionnaire (GHQ-12)","Score 1-3","Female",25,NA,23.2,26.2
"2009","Scotland","General health questionnaire (GHQ-12)","Score 4+","Female",17,NA,15.5,18.3
"2009","Scotland","General health questionnaire (GHQ-12)","Score 0","Male",65,NA,63.4,67.3
"2009","Scotland","General health questionnaire (GHQ-12)","Score 1-3","Male",23,NA,21.4,25
"2009","Scotland","General health questionnaire (GHQ-12)","Score 4+","Male",11,NA,10.1,12.8
"2010","Scotland","General health questionnaire (GHQ-12)","Score 0","All",61,NA,59.4,62.3
"2010","Scotland","General health questionnaire (GHQ-12)","Score 1-3","All",24,NA,22.5,24.9
"2010","Scotland","General health questionnaire (GHQ-12)","Score 4+","All",15,NA,14.4,16.5
"2010","Scotland","General health questionnaire (GHQ-12)","Score 0","Female",57,NA,55.6,59.1
"2010","Scotland","General health questionnaire (GHQ-12)","Score 1-3","Female",25,NA,23.6,26.8
"2010","Scotland","General health questionnaire (GHQ-12)","Score 4+","Female",17,NA,16.1,18.8
"2010","Scotland","General health questionnaire (GHQ-12)","Score 0","Male",65,NA,62.5,66.9
"2010","Scotland","General health questionnaire (GHQ-12)","Score 1-3","Male",22,NA,20.2,23.9
"2010","Scotland","General health questionnaire (GHQ-12)","Score 4+","Male",13,NA,11.8,14.8
"2011","Scotland","General health questionnaire (GHQ-12)","Score 0","All",60,NA,59,62
"2011","Scotland","General health questionnaire (GHQ-12)","Score 1-3","All",25,NA,23.3,25.8
"2011","Scotland","General health questionnaire (GHQ-12)","Score 4+","All",15,NA,13.9,16
"2011","Scotland","General health questionnaire (GHQ-12)","Score 0","Female",57,NA,54.8,58.6
"2011","Scotland","General health questionnaire (GHQ-12)","Score 1-3","Female",26,NA,24.7,27.8
"2011","Scotland","General health questionnaire (GHQ-12)","Score 4+","Female",17,NA,15.7,18.4
"2011","Scotland","General health questionnaire (GHQ-12)","Score 0","Male",65,NA,62.5,66.9
"2011","Scotland","General health questionnaire (GHQ-12)","Score 1-3","Male",23,NA,20.7,24.7
"2011","Scotland","General health questionnaire (GHQ-12)","Score 4+","Male",13,NA,11.2,14
"2012","Scotland","General health questionnaire (GHQ-12)","Score 0","All",62,NA,60.1,63.9
"2012","Scotland","General health questionnaire (GHQ-12)","Score 1-3","All",23,NA,21.4,24.4
"2012","Scotland","General health questionnaire (GHQ-12)","Score 4+","All",15,NA,13.9,16.5
"2012","Scotland","General health questionnaire (GHQ-12)","Score 0","Female",59,NA,56.3,60.9
"2012","Scotland","General health questionnaire (GHQ-12)","Score 1-3","Female",24,NA,22.1,25.8
"2012","Scotland","General health questionnaire (GHQ-12)","Score 4+","Female",17,NA,15.7,19.2
"2012","Scotland","General health questionnaire (GHQ-12)","Score 0","Male",66,NA,62.9,68.4
"2012","Scotland","General health questionnaire (GHQ-12)","Score 1-3","Male",22,NA,19.4,23.9
"2012","Scotland","General health questionnaire (GHQ-12)","Score 4+","Male",13,NA,10.9,14.4
"2013","Scotland","General health questionnaire (GHQ-12)","Score 0","All",60,NA,58.2,62
"2013","Scotland","General health questionnaire (GHQ-12)","Score 1-3","All",24,NA,22.6,25.7
